,_id,note,season
27,5fff9d6820dd18222826159c,"Arguably the most competitive season to date, Mildred League VII was the first to use non-traditional rosters [QB/RB/2WR/TE/2FLX/1K/1D/5B]. Moving an RB to FLX was aimed at better reflecting the modern NFL and providing teams with more flexibility in such a deep league. Shortening the bench was aimed at increasing comeback potential for teams behind in the standings (better waiver opportunities).",2019
28,5fff9d6820dd18222826159d,This was also the first money league season ($20 entry).,2019
29,5fff9d6820dd18222826159f,"Tiebreaker hell was once again narrowly averted after Brad's last week choke cleared the way for Conti to take yet another shot at the title. (At one point, a five-way tie for the last playoff spot was possible...)",2019
30,5fff9d6820dd1822282615a0,"After winning the consolation bracket in 2018, Frank made his first pick draft slot count and claimed a first-round bye, then defeated Tarpey in the semifinals. However, in the finals Frank cleared the way for Sendzik's first title!",2019
31,5fff9da620dd1822282615a3,"On a personal note, commissioning Mildred League was a welcome distraction from the hellish year that 2020 was for many. I'm extremely grateful for the friends that continue to compete for the opportunity to lose to Grandma.",2020
32,5fff9da620dd1822282615a4,"On to the good stuff. COVID designations and schedule changes were a significant factor early on, but despite these challenges (or maybe due to them?) the league surpassed competitive expectations once again, with 10 teams at .500 or better halfway through the season.",2020
33,5fff9da620dd1822282615a9,"Finally, on the loser's bracket side, Matt went on an absolute tear worthy of the winner's bracket and will be determining 2021 draft order first...while Brando completed his fall from grace and secured last place after losing to Mildred in the toilet bowl.",2020
34,5fff9da620dd1822282615a6,"This year, Fonti came up with the short straw as the first team to miss playoffs on a H2H tiebreaker with Jake.",2020
35,5fff9da620dd1822282615a7,"The high scorers always manage to find their way to the top of the standings, and this year was no exception. Mildred Bowl VIII was a battle between the top two scores this year, #4 Frank vs. #2 Charles, and Charles won it handily to take his first league title!",2020
36,5fff9da620dd1822282615a8,"Conti and yours truly rematched in the Heartbreaker game, and managed to finish in the exact same position two years in a row: Conti 3rd, commissioner 4th =[",2020
37,5fff9da620dd1822282615a5,Site plug goes here: Mildred League received some significant backend updates in 2020 that enable us to resolve our heartbreaking NFL-style tiebreakers automatically. (There was even a week 14 simulator! This will make a return in 2021.),2020
